code_muni,name_muni,cluster
1100015,Alta Floresta D'oeste,C
1100023,Ariquemes,A
1100031,Cabixi,A
1100049,Cacoal,A
1100056,Cerejeiras,A
1100064,Colorado Do Oeste,A
1100072,Corumbiara,B
1100080,Costa Marques,C
1100098,Espigão D'oeste,B
1100106,Guajará-Mirim,C
1100114,Jaru,A
1100122,Ji-Paraná,A
1100130,Machadinho D'oeste,C
1100148,Nova Brasilândia D'oeste,C
1100155,Ouro Preto Do Oeste,A
1100189,Pimenta Bueno,A
1100205,Porto Velho,B
1100254,Presidente Médici,B
1100262,Rio Crespo,C
1100288,Rolim De Moura,A
1100296,Santa Luzia D'oeste,B
1100304,Vilhena,A
1100320,São Miguel Do Guaporé,C
1100338,Nova Mamoré,C
1100346,Alvorada D'oeste,C
1100379,Alto Alegre Dos Parecis,C
1100403,Alto Paraíso,C
1100452,Buritis,C
1100502,Novo Horizonte Do Oeste,C
1100601,Cacaulândia,C
1100700,Campo Novo De Rondônia,C
1100809,Candeias Do Jamari,C
1100908,Castanheiras,A
1100924,Chupinguaia,B
1100940,Cujubim,C
1101005,Governador Jorge Teixeira,C
1101104,Itapuã Do Oeste,C
1101203,Ministro Andreazza,B
1101302,Mirante Da Serra,C
1101401,Monte Negro,A
1101435,Nova União,C
1101450,Parecis,C
1101468,Pimenteiras Do Oeste,A
1101476,Primavera De Rondônia,A
1101484,São Felipe D'oeste,B
1101492,São Francisco Do Guaporé,C
1101500,Seringueiras,C
1101559,Teixeirópolis,A
1101609,Theobroma,C
1101708,Urupá,C
1101757,Vale Do Anari,C
1101807,Vale Do Paraíso,C
1200013,Acrelândia,C
1200054,Assis Brasil,D
1200104,Brasiléia,C
1200138,Bujari,D
1200179,Capixaba,D
1200203,Cruzeiro Do Sul,D
1200252,Epitaciolândia,C
1200302,Feijó,E
1200328,Jordão,E
1200336,Mâncio Lima,D
1200344,Manoel Urbano,D
1200351,Marechal Thaumaturgo,E
1200385,Plácido De Castro,C
1200393,Porto Walter,E
1200401,Rio Branco,C
1200427,Rodrigues Alves,E
1200435,Santa Rosa Do Purus,E
1200450,Senador Guiomard,C
1200500,Sena Madureira,D
1200609,Tarauacá,E
1200708,Xapuri,C
1200807,Porto Acre,D
1300029,Alvarães,E
1300060,Amaturá,E
1300086,Anamã,E
1300102,Anori,D
1300144,Apuí,D
1300201,Atalaia Do Norte,E
1300300,Autazes,E
1300409,Barcelos,E
1300508,Barreirinha,E
1300607,Benjamin Constant,E
1300631,Beruri,E
1300680,Boa Vista Do Ramos,E
1300706,Boca Do Acre,E
1300805,Borba,E
1300839,Caapiranga,E
1300904,Canutama,D
1301001,Carauari,E
1301100,Careiro,E
1301159,Careiro Da Várzea,E
1301209,Coari,E
1301308,Codajás,D
1301407,Eirunepé,E
1301506,Envira,E
1301605,Fonte Boa,D
1301654,Guajará,E
1301704,Humaitá,D
1301803,Ipixuna,E
1301852,Iranduba,D
1301902,Itacoatiara,D
1301951,Itamarati,E
1302009,Itapiranga,D
1302108,Japurá,E
1302207,Juruá,E
1302306,Jutaí,E
1302405,Lábrea,E
1302504,Manacapuru,D
1302553,Manaquiri,E
1302603,Manaus,B
1302702,Manicoré,E
1302801,Maraã,E
1302900,Maués,E
1303007,Nhamundá,E
1303106,Nova Olinda Do Norte,E
1303205,Novo Airão,E
1303304,Novo Aripuanã,E
1303403,Parintins,D
1303502,Pauini,E
1303536,Presidente Figueiredo,C
1303569,Rio Preto Da Eva,D
1303601,Santa Isabel Do Rio Negro,E
1303700,Santo Antônio Do Içá,E
1303809,São Gabriel Da Cachoeira,E
1303908,São Paulo De Olivença,E
1303957,São Sebastião Do Uatumã,D
1304005,Silves,E
1304062,Tabatinga,D
1304104,Tapauá,E
1304203,Tefé,C
1304237,Tonantins,E
1304260,Uarini,E
1304302,Urucará,D
1304401,Urucurituba,E
1400027,Amajari,E
1400050,Alto Alegre,E
1400100,Boa Vista,A
1400159,Bonfim,D
1400175,Cantá,D
1400209,Caracaraí,C
1400233,Caroebe,C
1400282,Iracema,D
1400308,Mucajaí,C
1400407,Normandia,E
1400456,Pacaraima,D
1400472,Rorainópolis,D
1400506,São João Da Baliza,C
1400605,São Luiz,C
1400704,Uiramutã,E
1500107,Abaetetuba,D
1500131,Abel Figueiredo,C
1500206,Acará,E
1500305,Afuá,E
1500347,Água Azul Do Norte,C
1500404,Alenquer,E
1500503,Almeirim,D
1500602,Altamira,C
1500701,Anajás,E
1500800,Ananindeua,B
1500859,Anapu,D
1500909,Augusto Corrêa,D
1500958,Aurora Do Pará,D
1501006,Aveiro,E
1501105,Bagre,E
1501204,Baião,D
1501253,Bannach,C
1501303,Barcarena,D
1501402,Belém,A
1501451,Belterra,E
1501501,Benevides,C
1501576,Bom Jesus Do Tocantins,C
1501600,Bonito,D
1501709,Bragança,D
1501725,Brasil Novo,D
1501758,Brejo Grande Do Araguaia,D
1501782,Breu Branco,D
1501808,Breves,E
1501907,Bujaru,E
1501956,Cachoeira Do Piriá,E
1502004,Cachoeira Do Arari,D
1502103,Cametá,E
1502152,Canaã Dos Carajás,C
1502202,Capanema,C
1502301,Capitão Poço,D
1502400,Castanhal,C
1502509,Chaves,E
1502608,Colares,D
1502707,Conceição Do Araguaia,C
1502756,Concórdia Do Pará,D
1502764,Cumaru Do Norte,D
1502772,Curionópolis,D
1502806,Curralinho,E
1502855,Curuá,E
1502905,Curuçá,C
1502939,Dom Eliseu,D
1502954,Eldorado Dos Carajás,D
1503002,Faro,D
1503044,Floresta Do Araguaia,D
1503077,Garrafão Do Norte,D
1503093,Goianésia Do Pará,D
1503101,Gurupá,E
1503200,Igarapé-Açu,D
1503309,Igarapé-Miri,E
1503408,Inhangapi,D
1503457,Ipixuna Do Pará,D
1503507,Irituia,D
1503606,Itaituba,D
1503705,Itupiranga,D
1503754,Jacareacanga,E
1503804,Jacundá,C
1503903,Juruti,E
1504000,Limoeiro Do Ajuru,E
1504059,Mãe Do Rio,D
1504109,Magalhães Barata,C
1504208,Marabá,C
1504307,Maracanã,D
1504406,Marapanim,D
1504422,Marituba,C
1504455,Medicilândia,D
1504505,Melgaço,E
1504604,Mocajuba,D
1504703,Moju,D
1504802,Monte Alegre,D
1504901,Muaná,E
1504950,Nova Esperança Do Piriá,E
1504976,Nova Ipixuna,D
1505007,Nova Timboteua,D
1505031,Novo Progresso,B
1505064,Novo Repartimento,D
1505106,Óbidos,E
1505205,Oeiras Do Pará,E
1505304,Oriximiná,E
1505403,Ourém,D
1505437,Ourilândia Do Norte,C
1505486,Pacajá,D
1505494,Palestina Do Pará,D
1505502,Paragominas,C
1505536,Parauapebas,B
1505551,Pau D'arco,D
1505601,Peixe-Boi,D
1505635,Piçarra,D
1505650,Placas,D
1505700,Ponta De Pedras,E
1505809,Portel,E
1505908,Porto De Moz,E
1506005,Prainha,E
1506104,Primavera,D
1506112,Quatipuru,D
1506138,Redenção,C
1506161,Rio Maria,C
1506187,Rondon Do Pará,C
1506195,Rurópolis,D
1506203,Salinópolis,C
1506302,Salvaterra,C
1506351,Santa Bárbara Do Pará,C
1506401,Santa Cruz Do Arari,C
1506500,Santa Isabel Do Pará,C
1506559,Santa Luzia Do Pará,D
1506583,Santa Maria Das Barreiras,D
1506609,Santa Maria Do Pará,C
1506708,Santana Do Araguaia,C
1506807,Santarém,D
1506906,Santarém Novo,D
1507003,Santo Antônio Do Tauá,C
1507102,São Caetano De Odivelas,C
1507151,São Domingos Do Araguaia,D
1507201,São Domingos Do Capim,E
1507300,São Félix Do Xingu,D
1507409,São Francisco Do Pará,D
1507458,São Geraldo Do Araguaia,C
1507466,São João Da Ponta,D
1507474,São João De Pirabas,D
1507508,São João Do Araguaia,D
1507607,São Miguel Do Guamá,D
1507706,São Sebastião Da Boa Vista,E
1507755,Sapucaia,C
1507805,Senador José Porfírio,D
1507904,Soure,C
1507953,Tailândia,D
1507961,Terra Alta,C
1507979,Terra Santa,D
1508001,Tomé-Açu,D
1508035,Tracuateua,E
1508050,Trairão,D
1508084,Tucumã,C
1508100,Tucuruí,C
1508126,Ulianópolis,C
1508159,Uruará,D
1508209,Vigia,C
1508308,Viseu,E
1508357,Vitória Do Xingu,D
1508407,Xinguara,C
1600055,Serra Do Navio,C
1600105,Amapá,D
1600154,Pedra Branca Do Amapari,D
1600204,Calçoene,D
1600212,Cutias,D
1600238,Ferreira Gomes,D
1600253,Itaubal,D
1600279,Laranjal Do Jari,C
1600303,Macapá,A
1600402,Mazagão,E
1600501,Oiapoque,D
1600535,Porto Grande,D
1600550,Pracuúba,D
1600600,Santana,C
1600709,Tartarugalzinho,D
1600808,Vitória Do Jari,E
1700251,Abreulândia,D
1700301,Aguiarnópolis,C
1700350,Aliança Do Tocantins,A
1700400,Almas,C
1700707,Alvorada,A
1701002,Ananás,A
1701051,Angico,C
1701101,Aparecida Do Rio Negro,B
1701309,Aragominas,D
1701903,Araguacema,C
1702000,Araguaçu,A
1702109,Araguaína,A
1702158,Araguanã,A
1702208,Araguatins,C
1702307,Arapoema,A
1702406,Arraias,C
1702554,Augustinópolis,C
1702703,Aurora Do Tocantins,B
1702901,Axixá Do Tocantins,C
1703008,Babaçulândia,C
1703057,Bandeirantes Do Tocantins,C
1703073,Barra Do Ouro,C
1703107,Barrolândia,B
1703206,Bernardo Sayão,A
1703305,Bom Jesus Do Tocantins,C
1703602,Brasilândia Do Tocantins,A
1703701,Brejinho De Nazaré,C
1703800,Buriti Do Tocantins,C
1703826,Cachoeirinha,C
1703842,Campos Lindos,D
1703867,Cariri Do Tocantins,A
1703883,Carmolândia,A
1703891,Carrasco Bonito,C
1703909,Caseara,C
1704105,Centenário,C
1704600,Chapada De Areia,C
1705102,Chapada Da Natividade,C
1705508,Colinas Do Tocantins,A
1705557,Combinado,A
1705607,Conceição Do Tocantins,C
1706001,Couto Magalhães,C
1706100,Cristalândia,A
1706258,Crixás Do Tocantins,C
1706506,Darcinópolis,C
1707009,Dianópolis,B
1707108,Divinópolis Do Tocantins,A
1707207,Dois Irmãos Do Tocantins,C
1707306,Dueré,A
1707405,Esperantina,D
1707553,Fátima,A
1707652,Figueirópolis,A
1707702,Filadélfia,C
1708205,Formoso Do Araguaia,A
1708254,Fortaleza Do Tabocão,B
1708304,Goianorte,C
1709005,Goiatins,D
1709302,Guaraí,A
1709500,Gurupi,A
1709807,Ipueiras,A
1710508,Itacajá,C
1710706,Itaguatins,C
1710904,Itapiratins,C
1711100,Itaporã Do Tocantins,A
1711506,Jaú Do Tocantins,C
1711803,Juarina,C
1711902,Lagoa Da Confusão,C
1711951,Lagoa Do Tocantins,C
1712009,Lajeado,C
1712157,Lavandeira,C
1712405,Lizarda,D
1712454,Luzinópolis,C
1712504,Marianópolis Do Tocantins,A
1712702,Mateiros,C
1712801,Maurilândia Do Tocantins,C
1713205,Miracema Do Tocantins,A
1713304,Miranorte,A
1713601,Monte Do Carmo,C
1713700,Monte Santo Do Tocantins,C
1713809,Palmeiras Do Tocantins,C
1713957,Muricilândia,C
1714203,Natividade,C
1714302,Nazaré,C
1714880,Nova Olinda,C
1715002,Nova Rosalândia,C
1715101,Novo Acordo,C
1715150,Novo Alegre,B
1715259,Novo Jardim,C
1715507,Oliveira De Fátima,A
1715705,Palmeirante,D
1715754,Palmeirópolis,B
1716109,Paraíso Do Tocantins,A
1716208,Paranã,D
1716307,Pau D'arco,C
1716505,Pedro Afonso,A
1716604,Peixe,C
1716653,Pequizeiro,C
1716703,Colméia,A
1717008,Pindorama Do Tocantins,C
1717206,Piraquê,C
1717503,Pium,C
1717800,Ponte Alta Do Bom Jesus,E
1717909,Ponte Alta Do Tocantins,C
1718006,Porto Alegre Do Tocantins,C
1718204,Porto Nacional,A
1718303,Praia Norte,D
1718402,Presidente Kennedy,B
1718451,Pugmil,A
1718501,Recursolândia,D
1718550,Riachinho,C
1718659,Rio Da Conceição,C
1718709,Rio Dos Bois,C
1718758,Rio Sono,C
1718808,Sampaio,C
1718840,Sandolândia,B
1718865,Santa Fé Do Araguaia,C
1718881,Santa Maria Do Tocantins,C
1718899,Santa Rita Do Tocantins,C
1718907,Santa Rosa Do Tocantins,C
1719004,Santa Tereza Do Tocantins,C
1720002,Santa Terezinha Do Tocantins,C
1720101,São Bento Do Tocantins,D
1720150,São Félix Do Tocantins,C
1720200,São Miguel Do Tocantins,D
1720259,São Salvador Do Tocantins,C
1720309,São Sebastião Do Tocantins,C
1720499,São Valério,C
1720655,Silvanópolis,C
1720804,Sítio Novo Do Tocantins,C
1720853,Sucupira,A
1720903,Taguatinga,C
1720937,Taipas Do Tocantins,C
1720978,Talismã,A
1721000,Palmas,A
1721109,Tocantínia,C
1721208,Tocantinópolis,B
1721257,Tupirama,C
1721307,Tupiratins,D
1722081,Wanderlândia,B
1722107,Xambioá,C
2100055,Açailândia,C
2100105,Afonso Cunha,D
2100154,Água Doce Do Maranhão,D
2100204,Alcântara,D
2100303,Aldeias Altas,D
2100402,Altamira Do Maranhão,D
2100436,Alto Alegre Do Maranhão,D
2100477,Alto Alegre Do Pindaré,D
2100501,Alto Parnaíba,C
2100550,Amapá Do Maranhão,D
2100600,Amarante Do Maranhão,D
2100709,Anajatuba,D
2100808,Anapurus,C
2100832,Apicum-Açu,D
2100873,Araguanã,D
2100907,Araioses,E
2100956,Arame,D
2101004,Arari,D
2101103,Axixá,D
2101202,Bacabal,C
2101251,Bacabeira,D
2101301,Bacuri,E
2101350,Bacurituba,D
2101400,Balsas,C
2101509,Barão De Grajaú,C
2101608,Barra Do Corda,D
2101707,Barreirinhas,D
2101731,Belágua,E
2101772,Bela Vista Do Maranhão,D
2101806,Benedito Leite,C
